REPORT_DATE,Gross Margin,Operating Margin,Net Margin,Current Ratio,Quick Ratio,Cash Ratio,Inventory Turnover,Asset Turnover,ROA,ROE,ROIC,ROCE
2022-03-31,0.12197643197563883,0.04916989831310848,0.04071398916686108,1.184155991675676,1.057714952146441,0.32624227075281814,2.717989223682108,0.19910938180669283,0.008106537213898098,0.02222444556155687,0.017649313283322164,0.01992712544178243
2022-06-30,0.1313522923809197,0.02341626140924769,0.01736669252955133,1.196825248431347,1.0466477259441218,0.378590555517946,1.5499316218831967,0.1405477824764495,0.0024408501239787605,0.006989970780689118,0.005301382385993049,0.0069214363344978725
2022-09-30,0.12584378200818144,0.03989760363067674,0.03495015525696856,1.1806236489588782,1.0031202979817044,0.36939760962626245,2.0042407838441147,0.2184517749345808,0.007634923450123953,0.022447150384117532,0.016794637113563198,0.01881506159761189
2022-12-31,0.11982772870249447,0.02533324886108553,0.026335341176172766,1.0702065728683496,0.9074508523762062,0.28522763562648046,2.153868510806745,0.21881858384976868,0.0057626620613706265,0.016965953678731896,0.01021437489549086,0.012302500547090077
2023-03-31,0.13083105178326873,0.03822404725136456,0.028280585452627502,1.1144883021236156,0.9291867917509181,0.2989381712717507,1.3658755350921192,0.15389942928278807,0.004352365960942491,0.012138249355925976,0.009339179085758634,0.012476674866963198
2023-06-30,0.11990069335773053,0.04433811539505305,0.033767452837029165,1.1482302611177808,0.9569712014951839,0.28712696916828534,1.7154885252545065,0.19182761624748318,0.0064775299844766175,0.018065663109869325,0.014044135141627868,0.017520624021964047
2023-09-30,0.1282975535500463,0.04156518204648674,0.03305210405507806,1.1647445483165475,0.9734475787470862,0.27711327471547903,1.8186627729554268,0.20663345462930724,0.006829670443668114,0.018947364669677,0.014712077389688358,0.01780925570168951
2023-12-31,0.0967079706547413,0.018841851121242325,0.015042744646816212,1.131828987935236,0.9517112073499867,0.26237750862105225,2.027870860252645,0.21990076262385613,0.0033079110197908146,0.009710817488337558,0.007730684178851418,0.009082752243307077
2024-03-31,0.10882399501820711,0.02213115620747913,0.019943664716303693,1.1811094011614212,0.9966744875195094,0.29054624967157805,1.3953511008257344,0.14909894801413168,0.002973579428747437,0.00817886198001997,0.005640527344234038,0.006822012727423404
2024-06-30,0.09874401448958975,0.03865307768624402,0.032371146211563784,1.188907912369764,0.9999746642930847,0.31308271160524953,1.3240154610174608,0.14552683914660258,0.004710870587721397,0.013233728293033927,0.010097343762349102,0.011825104716361024
2024-09-30,0.1052938279937886,0.014898231937731123,0.006829200998375982,1.208095702124026,1.0294113601130903,0.3439540545518927,1.5012275512908775,0.15261729049015443,0.0010422541525847999,0.0028423378773739013,0.0028000817300539004,0.00463117903351533
2024-12-31,0.13310117611580832,-0.0022120883963771907,-0.01319046611360783,1.1762213529938348,1.0252684208573368,0.3867294341369247,2.211160985051817,0.2059332943896334,-0.002716356141310085,-0.007498356211102389,-0.0009882047624779578,-0.000979348457522669
2025-03-31,0.10203567594236178,0.03449975969324917,0.028435376828222135,1.18737941877458,1.0351237046814523,0.3992260098760907,1.7112958933451003,0.1519038727950068,0.00431944386459234,0.01130302974456511,0.008797029800533927,0.010998558836833715
2025-06-30,0.09671915844780121,0.0345313903307163,0.02717413134519985,1.180724287195471,1.0251857635997021,0.39170079186814377,1.890086643568895,0.17147542511878544,0.004659695724651857,0.012101005030619975,0.009997888836003726,0.01251518205807375
2025-09-30,0.10345818380568741,0.03399229349582248,0.02172715055001049,1.1689631325425516,1.0206907972268089,0.3768510866321766,2.0225675109260917,0.17974717020369801,0.003905393827954106,0.0103589016888879,0.008848308825437873,0.01320699881916016
